Episode 273	Step 291548	Time 4869.30	Epsilon 0.01	Reward 1996.0
Episode 274	Step 295758	Time 4940.95	Epsilon 0.01	Reward 1323.0
Episode 275	Step 295980	Time 4944.39	Epsilon 0.01	Reward 1488.0
Episode 276	Step 300089	Time 5013.65	Epsilon 0.01	Reward 1449.0
Episode 277	Step 300242	Time 5016.06	Epsilon 0.01	Reward 1089.0
Episode 278	Step 300334	Time 5017.55	Epsilon 0.01	Reward 719.0
Episode 279	Step 300792	Time 5024.78	Epsilon 0.01	Reward 1444.0
Episode 280	Step 303674	Time 5075.14	Epsilon 0.01	Reward 1847.0
Episode 281	Step 304438	Time 5087.25	Epsilon 0.01	Reward 1600.0
Episode 282	Step 304521	Time 5088.61	Epsilon 0.01	Reward 732.0
Episode 283	Step 306942	Time 5129.19	Epsilon 0.01	Reward 1772.0
Episode 284	Step 309510	Time 5172.11	Epsilon 0.01	Reward 1826.0
Episode 285	Step 312010	Time 5216.40	Epsilon 0.01	Reward 1652.0
Episode 286	Step 312460	Time 5223.59	Epsilon 0.01	Reward 1539.0
Episode 287	Step 314602	Time 5260.26	Epsilon 0.01	Reward 1095.0
Episode 288	Step 314848	Time 5264.17	Epsilon 0.01	Reward 1102.0
Episode 289	Step 315044	Time 5267.33	Epsilon 0.01	Reward 1465.0
Episode 290	Step 319253	Time 5339.01	Epsilon 0.01	Reward 1103.0
Episode 291	Step 319870	Time 5348.79	Epsilon 0.01	Reward 2318.0
Episode 292	Step 320384	Time 5359.94	Epsilon 0.01	Reward 1647.0
Episode 293	Step 322496	Time 5395.39	Epsilon 0.01	Reward 1270.0
Episode 294	Step 323796	Time 5416.06	Epsilon 0.01	Reward 1667.0
Episode 295	Step 324909	Time 5436.19	Epsilon 0.01	Reward 1394.0
Episode 296	Step 325339	Time 5442.99	Epsilon 0.01	Reward 1581.0
Episode 297	Step 327515	Time 5479.39	Epsilon 0.01	Reward 1636.0
Episode 298	Step 327917	Time 5485.85	Epsilon 0.01	Reward 1670.0
Episode 299	Step 329037	Time 5506.02	Epsilon 0.01	Reward 1691.0
Episode 300	Step 329940	Time 5520.23	Epsilon 0.01	Reward 1536.0
Episode 301	Step 330536	Time 5532.67	Epsilon 0.01	Reward 2017.0
Episode 302	Step 331337	Time 5545.10	Epsilon 0.01	Reward 2054.0
Episode 303	Step 331651	Time 5549.97	Epsilon 0.01	Reward 1886.0
Episode 304	Step 332912	Time 5572.73	Epsilon 0.01	Reward 1823.0
Episode 305	Step 335033	Time 5608.34	Epsilon 0.01	Reward 1190.0
Episode 306	Step 335427	Time 5614.40	Epsilon 0.01	Reward 2045.0
Episode 307	Step 335720	Time 5618.95	Epsilon 0.01	Reward 1451.0
Episode 308	Step 338051	Time 5659.54	Epsilon 0.01	Reward 1481.0
Episode 309	Step 338907	Time 5675.01	Epsilon 0.01	Reward 1785.0
Episode 310	Step 339229	Time 5680.02	Epsilon 0.01	Reward 2059.0
Episode 311	Step 339722	Time 5687.52	Epsilon 0.01	Reward 1471.0
Episode 312	Step 340157	Time 5694.24	Epsilon 0.01	Reward 1951.0
Episode 313	Step 340386	Time 5697.91	Epsilon 0.01	Reward 1830.0
Episode 314	Step 340515	Time 5699.98	Epsilon 0.01	Reward 1106.0
